model,n_per_class,overall_accuracy_mean,overall_accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,box_accuracy_mean,box_accuracy_std,can_accuracy_mean,can_accuracy_std,mug_accuracy_mean,mug_accuracy_std,bottle_accuracy_mean,bottle_accuracy_std,bowl_accuracy_mean,bowl_accuracy_std,p05,p95,n_trials
knn,1,0.5343081673148885,0.11811916465281723,0.5066681083673347,0.1195406447704547,0.347719730181446,0.20675591181442546,0.9372728543060507,0.08604031135491173,0.5339223462377493,0.3046089731913594,0.39966864014122094,0.2544327856824291,0.3147569709702063,0.24679759489954503,0.3538828903654485,0.7059124423963133,20
knn,2,0.5410481304966142,0.12428734471955961,0.4651192654285771,0.07239577486939522,0.318683952660241,0.16472484558848632,0.8986134116442794,0.20566552978039185,0.08304444365486773,0.10643396408502039,0.6879863584226897,0.17311972142658788,0.3372681607608078,0.1797593927202393,0.42144803666542796,0.7145372566688311,20
knn,5,0.565000971119819,0.08851757751237578,0.5212417470824564,0.05266172625685884,0.3412806919436349,0.18741401185500112,0.9778092542758697,0.02931571186113053,0.31801896447565386,0.20748172070776955,0.5619528744451731,0.21553704165598203,0.4071469502719503,0.1970671796955239,0.44680418576654163,0.6856599204289916,20
knn,10,0.6881021282373738,0.07329032599044231,0.6523656615784899,0.06504836764045403,0.5451917499762671,0.14030166496367324,0.9851900096745426,0.0170286827701543,0.4839759438433623,0.22853113241685866,0.6803989452352868,0.11335911866049189,0.5670716591629904,0.20563019553670575,0.5695641303441954,0.7929225352112677,20
svm_linear,1,0.5343081673148885,0.11811916465281723,0.5066681083673347,0.1195406447704547,0.347719730181446,0.20675591181442546,0.9372728543060507,0.08604031135491173,0.5339223462377493,0.3046089731913594,0.39966864014122094,0.2544327856824291,0.3147569709702063,0.24679759489954503,0.3538828903654485,0.7059124423963133,20
svm_linear,2,0.5996153547065846,0.13264556973790734,0.542537029850611,0.07471423112530308,0.41055267472092316,0.19579654361013596,0.9321775522508486,0.2040245122187007,0.38652769999385406,0.21925974283881697,0.5749653532740899,0.15878586477945625,0.4084618690133396,0.1917475752577472,0.4204276601015732,0.758497999384426,20
svm_linear,5,0.6295308474608604,0.09606565904321628,0.5903386635700998,0.05619226248731826,0.447174485396717,0.1493897141476523,0.9839091355912266,0.027845016934914438,0.5981484928897949,0.16990801428805402,0.49844147370303,0.21464325395420697,0.4240197302697303,0.19209887342964044,0.460458512673362,0.7243337552109032,20
svm_linear,10,0.690404061263428,0.07555450168140458,0.6731303603599029,0.053321886283669594,0.5329184682739542,0.13013496530009047,0.9914877452928177,0.012772842634628483,0.711900652397821,0.15215498176739667,0.593441509282114,0.17736686139260274,0.5359034265528073,0.1545205741107427,0.5678988901333877,0.7811567792852709,20
svm_rbf,1,0.5343081673148885,0.11811916465281723,0.5066681083673347,0.1195406447704547,0.347719730181446,0.20675591181442546,0.9372728543060507,0.08604031135491173,0.5339223462377493,0.3046089731913594,0.39966864014122094,0.2544327856824291,0.3147569709702063,0.24679759489954503,0.3538828903654485,0.7059124423963133,20
svm_rbf,2,0.5378134237224627,0.1307258692681948,0.48527693084501566,0.08222428245474647,0.3442894579630222,0.193492668162327,0.8419857897598895,0.21853030703253118,0.383887985782297,0.19840052055105542,0.5511603665779331,0.18611905484677116,0.30506105414193646,0.1466204633181871,0.39971233369291626,0.7269308053334864,20
svm_rbf,5,0.6070662220310704,0.09477101887802983,0.5706445303798193,0.06406727049793645,0.4402565415151181,0.12005551799768473,0.9276420430886345,0.08215392908243262,0.5855071611491984,0.211142186043041,0.4843627769420163,0.23862794871532966,0.41545412920412916,0.24820468495668968,0.4667976988452463,0.7162823290502035,20
svm_rbf,10,0.6698940915272347,0.08359618862001769,0.6456585792936199,0.05254831279011887,0.5052463211564675,0.15297587481637698,0.9806930789099857,0.02456617050253938,0.6517959564294686,0.2503702451857968,0.6315176466869281,0.11291933289790512,0.45903989328524936,0.17400168026359805,0.5302408105080949,0.7676844803241452,20
