model,n_per_class,seed,n_train_rows,n_test_rows,overall_accuracy,balanced_accuracy,box_accuracy,can_accuracy,mug_accuracy,bottle_accuracy,bowl_accuracy
knn,1,1042,5,325,0.48307692307692307,0.2959069767441861,0.34,1.0,0.0,0.13953488372093023,0.0
svm_linear,1,1042,5,325,0.48307692307692307,0.2959069767441861,0.34,1.0,0.0,0.13953488372093023,0.0
svm_rbf,1,1042,5,325,0.48307692307692307,0.2959069767441861,0.34,1.0,0.0,0.13953488372093023,0.0
knn,1,1043,5,280,0.3392857142857143,0.5558435192258722,0.17613636363636365,0.9411764705882353,1.0,0.2619047619047619,0.4
svm_linear,1,1043,5,280,0.3392857142857143,0.5558435192258722,0.17613636363636365,0.9411764705882353,1.0,0.2619047619047619,0.4
svm_rbf,1,1043,5,280,0.3392857142857143,0.5558435192258722,0.17613636363636365,0.9411764705882353,1.0,0.2619047619047619,0.4
knn,1,1044,5,350,0.7057142857142857,0.7424408802498828,0.5348837209302325,0.9761904761904762,0.8695652173913043,0.7931034482758621,0.5384615384615384
svm_linear,1,1044,5,350,0.7057142857142857,0.7424408802498828,0.5348837209302325,0.9761904761904762,0.8695652173913043,0.7931034482758621,0.5384615384615384
svm_rbf,1,1044,5,350,0.7057142857142857,0.7424408802498828,0.5348837209302325,0.9761904761904762,0.8695652173913043,0.7931034482758621,0.5384615384615384
knn,1,1045,5,338,0.40828402366863903,0.6269206043072967,0.02185792349726776,1.0,0.7352941176470589,0.7941176470588235,0.5833333333333334
svm_linear,1,1045,5,338,0.40828402366863903,0.6269206043072967,0.02185792349726776,1.0,0.7352941176470589,0.7941176470588235,0.5833333333333334
svm_rbf,1,1045,5,338,0.40828402366863903,0.6269206043072967,0.02185792349726776,1.0,0.7352941176470589,0.7941176470588235,0.5833333333333334
knn,1,1046,5,329,0.6838905775075987,0.638995846673012,0.5142857142857142,0.9133858267716536,0.358974358974359,0.7083333333333334,0.7
svm_linear,1,1046,5,329,0.6838905775075987,0.638995846673012,0.5142857142857142,0.9133858267716536,0.358974358974359,0.7083333333333334,0.7
svm_rbf,1,1046,5,329,0.6838905775075987,0.638995846673012,0.5142857142857142,0.9133858267716536,0.358974358974359,0.7083333333333334,0.7
knn,1,1047,5,335,0.39104477611940297,0.3680920528746616,0.006211180124223602,0.989010989010989,0.16666666666666666,0.6785714285714286,0.0
svm_linear,1,1047,5,335,0.39104477611940297,0.3680920528746616,0.006211180124223602,0.989010989010989,0.16666666666666666,0.6785714285714286,0.0
svm_rbf,1,1047,5,335,0.39104477611940297,0.3680920528746616,0.006211180124223602,0.989010989010989,0.16666666666666666,0.6785714285714286,0.0
knn,1,1048,5,349,0.4355300859598854,0.4388402847797752,0.28662420382165604,0.9880952380952381,0.3333333333333333,0.14864864864864866,0.4375
svm_linear,1,1048,5,349,0.4355300859598854,0.4388402847797752,0.28662420382165604,0.9880952380952381,0.3333333333333333,0.14864864864864866,0.4375
svm_rbf,1,1048,5,349,0.4355300859598854,0.4388402847797752,0.28662420382165604,0.9880952380952381,0.3333333333333333,0.14864864864864866,0.4375
knn,1,1049,5,289,0.6539792387543253,0.6833232284956423,0.4523809523809524,0.9655172413793104,0.8,0.5833333333333334,0.6153846153846154
svm_linear,1,1049,5,289,0.6539792387543253,0.6833232284956423,0.4523809523809524,0.9655172413793104,0.8,0.5833333333333334,0.6153846153846154
svm_rbf,1,1049,5,289,0.6539792387543253,0.6833232284956423,0.4523809523809524,0.9655172413793104,0.8,0.5833333333333334,0.6153846153846154
knn,1,1050,5,377,0.5676392572944297,0.5165490033222592,0.17054263565891473,0.93125,0.6,0.4642857142857143,0.4166666666666667
svm_linear,1,1050,5,377,0.5676392572944297,0.5165490033222592,0.17054263565891473,0.93125,0.6,0.4642857142857143,0.4166666666666667
svm_rbf,1,1050,5,377,0.5676392572944297,0.5165490033222592,0.17054263565891473,0.93125,0.6,0.4642857142857143,0.4166666666666667
knn,1,1051,5,317,0.6561514195583596,0.5536389489775317,0.4566929133858268,0.9743589743589743,0.8571428571428571,0.48,0.0
svm_linear,1,1051,5,317,0.6561514195583596,0.5536389489775317,0.4566929133858268,0.9743589743589743,0.8571428571428571,0.48,0.0
svm_rbf,1,1051,5,317,0.6561514195583596,0.5536389489775317,0.4566929133858268,0.9743589743589743,0.8571428571428571,0.48,0.0
knn,1,1052,5,344,0.3546511627906977,0.44036574984589194,0.006134969325153374,0.968421052631579,0.35714285714285715,0.22727272727272727,0.6428571428571429
svm_linear,1,1052,5,344,0.3546511627906977,0.44036574984589194,0.006134969325153374,0.968421052631579,0.35714285714285715,0.22727272727272727,0.6428571428571429
svm_rbf,1,1052,5,344,0.3546511627906977,0.44036574984589194,0.006134969325153374,0.968421052631579,0.35714285714285715,0.22727272727272727,0.6428571428571429
knn,1,1053,5,320,0.390625,0.3802298196724106,0.35609756097560974,0.78125,0.5185185185185185,0.24528301886792453,0.0
svm_linear,1,1053,5,320,0.390625,0.3802298196724106,0.35609756097560974,0.78125,0.5185185185185185,0.24528301886792453,0.0
svm_rbf,1,1053,5,320,0.390625,0.3802298196724106,0.35609756097560974,0.78125,0.5185185185185185,0.24528301886792453,0.0
knn,1,1054,5,285,0.5578947368421052,0.6837654230912658,0.4606741573033708,0.746031746031746,1.0,0.6666666666666666,0.5454545454545454
svm_linear,1,1054,5,285,0.5578947368421052,0.6837654230912658,0.4606741573033708,0.746031746031746,1.0,0.6666666666666666,0.5454545454545454
svm_rbf,1,1054,5,285,0.5578947368421052,0.6837654230912658,0.4606741573033708,0.746031746031746,1.0,0.6666666666666666,0.5454545454545454
knn,1,1055,5,284,0.5950704225352113,0.4636581196581197,0.72,1.0,0.4444444444444444,0.0,0.15384615384615385
svm_linear,1,1055,5,284,0.5950704225352113,0.4636581196581197,0.72,1.0,0.4444444444444444,0.0,0.15384615384615385
svm_rbf,1,1055,5,284,0.5950704225352113,0.4636581196581197,0.72,1.0,0.4444444444444444,0.0,0.15384615384615385
knn,1,1056,5,429,0.4988344988344988,0.40622056556839164,0.1793478260869565,0.9805194805194806,0.3783783783783784,0.35,0.14285714285714285
svm_linear,1,1056,5,429,0.4988344988344988,0.40622056556839164,0.1793478260869565,0.9805194805194806,0.3783783783783784,0.35,0.14285714285714285
svm_rbf,1,1056,5,429,0.4988344988344988,0.40622056556839164,0.1793478260869565,0.9805194805194806,0.3783783783783784,0.35,0.14285714285714285
knn,1,1057,5,295,0.511864406779661,0.47676997436928625,0.48201438848920863,0.7246376811594203,0.875,0.07142857142857142,0.23076923076923078
svm_linear,1,1057,5,295,0.511864406779661,0.47676997436928625,0.48201438848920863,0.7246376811594203,0.875,0.07142857142857142,0.23076923076923078
svm_rbf,1,1057,5,295,0.511864406779661,0.47676997436928625,0.48201438848920863,0.7246376811594203,0.875,0.07142857142857142,0.23076923076923078
knn,1,1058,5,411,0.583941605839416,0.4461896798853321,0.25,0.9836956521739131,0.14285714285714285,0.39285714285714285,0.46153846153846156
svm_linear,1,1058,5,411,0.583941605839416,0.4461896798853321,0.25,0.9836956521739131,0.14285714285714285,0.39285714285714285,0.46153846153846156
svm_rbf,1,1058,5,411,0.583941605839416,0.4461896798853321,0.25,0.9836956521739131,0.14285714285714285,0.39285714285714285,0.46153846153846156
knn,1,1059,5,331,0.5800604229607251,0.49954573688351483,0.3684210526315789,0.8951612903225806,0.6,0.6341463414634146,0.0
svm_linear,1,1059,5,331,0.5800604229607251,0.49954573688351483,0.3684210526315789,0.8951612903225806,0.6,0.6341463414634146,0.0
svm_rbf,1,1059,5,331,0.5800604229607251,0.49954573688351483,0.3684210526315789,0.8951612903225806,0.6,0.6341463414634146,0.0
knn,1,1060,5,342,0.5789473684210527,0.39982114467408586,0.5625,1.0,0.125,0.13513513513513514,0.17647058823529413
svm_linear,1,1060,5,342,0.5789473684210527,0.39982114467408586,0.5625,1.0,0.125,0.13513513513513514,0.17647058823529413
svm_rbf,1,1060,5,342,0.5789473684210527,0.39982114467408586,0.5625,1.0,0.125,0.13513513513513514,0.17647058823529413
knn,1,1061,5,372,0.7096774193548387,0.5162446080482744,0.6095890410958904,0.9867549668874173,0.5161290322580645,0.21875,0.25
svm_linear,1,1061,5,372,0.7096774193548387,0.5162446080482744,0.6095890410958904,0.9867549668874173,0.5161290322580645,0.21875,0.25
svm_rbf,1,1061,5,372,0.7096774193548387,0.5162446080482744,0.6095890410958904,0.9867549668874173,0.5161290322580645,0.21875,0.25
knn,2,2042,10,380,0.45526315789473687,0.4490022838465465,0.16560509554140126,0.8449612403100775,0.0425531914893617,0.8918918918918919,0.3
svm_linear,2,2042,10,380,0.6736842105263158,0.5300378356402208,0.5732484076433121,1.0,0.2553191489361702,0.6216216216216216,0.2
svm_rbf,2,2042,10,380,0.5105263157894737,0.4273617973577317,0.1592356687898089,1.0,0.3829787234042553,0.5945945945945946,0.0
knn,2,2043,10,377,0.5145888594164456,0.41058441558441555,0.375,0.7142857142857143,0.0,0.7636363636363637,0.2
svm_linear,2,2043,10,377,0.6021220159151194,0.5791522366522367,0.4125,0.8650793650793651,0.5,0.6181818181818182,0.5
svm_rbf,2,2043,10,377,0.5145888594164456,0.5098273948273948,0.275,0.8412698412698413,0.2692307692307692,0.5636363636363636,0.6
knn,2,2044,10,361,0.5761772853185596,0.4877291627291627,0.08391608391608392,0.9797297297297297,0.0,0.875,0.5
svm_linear,2,2044,10,361,0.814404432132964,0.5868704268704269,0.7482517482517482,0.9932432432432432,0.3,0.6428571428571429,0.25
svm_rbf,2,2044,10,361,0.7562326869806094,0.5681658881658882,0.7342657342657343,0.8851351351351351,0.4,0.5714285714285714,0.25
knn,2,2045,10,392,0.6428571428571429,0.43738716895459645,0.4263565891472868,0.9941176470588236,0.2727272727272727,0.3508771929824561,0.14285714285714285
svm_linear,2,2045,10,392,0.6658163265306123,0.47936914167024314,0.4186046511627907,1.0,0.2727272727272727,0.49122807017543857,0.21428571428571427
svm_rbf,2,2045,10,392,0.43112244897959184,0.3518511301260239,0.26356589147286824,0.5941176470588235,0.4090909090909091,0.42105263157894735,0.07142857142857142
knn,2,2046,10,291,0.5292096219931272,0.50910250779816,0.3106060606060606,0.9420289855072463,0.3076923076923077,0.6851851851851852,0.3
svm_linear,2,2046,10,291,0.6151202749140894,0.5418456583673975,0.5,0.9565217391304348,0.4230769230769231,0.6296296296296297,0.2
svm_rbf,2,2046,10,291,0.6288659793814433,0.5643144938797112,0.5454545454545454,0.8695652173913043,0.5769230769230769,0.6296296296296297,0.2
knn,2,2047,10,386,0.7124352331606217,0.5580451217754856,0.358974358974359,0.9937106918238994,0.21739130434782608,0.9701492537313433,0.25
svm_linear,2,2047,10,386,0.7512953367875648,0.5879334799886267,0.5555555555555556,0.9874213836477987,0.2608695652173913,0.835820895522388,0.3
svm_rbf,2,2047,10,386,0.7253886010362695,0.5833009977980776,0.4017094017094017,1.0,0.30434782608695654,0.9104477611940298,0.3
knn,2,2048,10,351,0.16809116809116809,0.27362608565438756,0.11904761904761904,0.07547169811320754,0.0,0.6111111111111112,0.5625
svm_linear,2,2048,10,351,0.21652421652421652,0.3458959269242288,0.17261904761904762,0.07547169811320754,0.28,0.6388888888888888,0.5625
svm_rbf,2,2048,10,351,0.18518518518518517,0.272374213836478,0.16666666666666666,0.0660377358490566,0.4,0.4166666666666667,0.3125
knn,2,2049,10,315,0.5015873015873016,0.47996114454651034,0.25757575757575757,0.86,0.0,0.8536585365853658,0.42857142857142855
svm_linear,2,2049,10,315,0.5587301587301587,0.5543602576285502,0.2803030303030303,0.98,0.2571428571428571,0.6829268292682927,0.5714285714285714
svm_rbf,2,2049,10,315,0.5523809523809524,0.5415795586527293,0.3333333333333333,0.9,0.17142857142857143,0.7317073170731707,0.5714285714285714
knn,2,2050,10,310,0.535483870967742,0.44331288125975316,0.17293233082706766,0.9811320754716981,0.0,0.7291666666666666,0.3333333333333333
svm_linear,2,2050,10,310,0.532258064516129,0.5353199142796958,0.20300751879699247,0.9716981132075472,0.2727272727272727,0.4791666666666667,0.75
svm_rbf,2,2050,10,310,0.49032258064516127,0.454354690327878,0.13533834586466165,0.9811320754716981,0.36363636363636365,0.4583333333333333,0.3333333333333333
knn,2,2051,10,276,0.43478260869565216,0.4099228705566733,0.2642857142857143,0.9436619718309859,0.0,0.5416666666666666,0.3
svm_linear,2,2051,10,276,0.4311594202898551,0.5003646610847883,0.20714285714285716,0.971830985915493,0.06451612903225806,0.4583333333333333,0.8
svm_rbf,2,2051,10,276,0.427536231884058,0.4082884403193353,0.2714285714285714,0.8732394366197183,0.0967741935483871,0.5,0.3
knn,2,2052,10,315,0.6761904761904762,0.5834948516050878,0.5905511811023622,1.0,0.0,0.7435897435897436,0.5833333333333334
svm_linear,2,2052,10,315,0.7555555555555555,0.6399368348187245,0.7244094488188977,1.0,0.5714285714285714,0.48717948717948717,0.4166666666666667
svm_rbf,2,2052,10,315,0.6730158730158731,0.5602722736581004,0.5669291338582677,1.0,0.2857142857142857,0.6153846153846154,0.3333333333333333
knn,2,2053,10,333,0.4984984984984985,0.5363455618942888,0.11194029850746269,0.9747899159663865,0.23809523809523808,0.6296296296296297,0.7272727272727273
svm_linear,2,2053,10,333,0.7387387387387387,0.7291104953967114,0.5223880597014925,0.9831932773109243,0.8571428571428571,0.5555555555555556,0.7272727272727273
svm_rbf,2,2053,10,333,0.6906906906906907,0.585080370154997,0.4552238805970149,1.0,0.8809523809523809,0.4074074074074074,0.18181818181818182
