model,metric,class,n_instances,accuracy,ci_lower,ci_upper,ci_lower_clustered,ci_upper_clustered,cluster_kind,n_clusters,ci_width_iid,ci_width_clustered
sage,overall_accuracy,all,1109,0.8944995491433724,0.8773669972948602,0.9125338142470695,0.7849660152931182,0.9779082905355833,video,13.0,0.035166816952209246,0.1929422752424651
sage,per_class_accuracy,box,475,1.0,1.0,1.0,,,,,,
sage,per_class_accuracy,can,355,1.0,1.0,1.0,,,,,,
sage,per_class_accuracy,mug,89,0.5168539325842697,0.4157303370786517,0.6179775280898876,,,,,,
sage,per_class_accuracy,bottle,146,0.684931506849315,0.6095890410958904,0.7602739726027398,,,,,,
sage,per_class_accuracy,bowl,44,0.36363636363636365,0.22727272727272727,0.5,,,,,,
knn,overall_accuracy,all,1109,0.9260595130748422,0.9116321009918846,0.9404869251577999,0.9035810472855988,0.9480638273773567,object_proxy,201.0,0.028854824165915227,0.04448278009175788
knn,per_class_accuracy,box,475,0.9642105263157895,0.9473684210526315,0.9810526315789474,,,,,,
knn,per_class_accuracy,can,355,0.9887323943661972,0.9774647887323944,0.9971830985915493,,,,,,
knn,per_class_accuracy,mug,89,0.7415730337078652,0.6404494382022472,0.8314606741573034,,,,,,
knn,per_class_accuracy,bottle,146,0.8561643835616438,0.8013698630136986,0.910958904109589,,,,,,
knn,per_class_accuracy,bowl,44,0.6136363636363636,0.4772727272727273,0.75,,,,,,
svm_linear,overall_accuracy,all,1109,0.8458070333633905,0.824165915238954,0.8683498647430117,0.7962704286043697,0.8895027624309392,object_proxy,201.0,0.044183949504057685,0.09323233382656948
svm_linear,per_class_accuracy,box,475,0.9789473684210527,0.9663157894736842,0.9894736842105263,,,,,,
svm_linear,per_class_accuracy,can,355,0.9971830985915493,0.9915492957746479,1.0,,,,,,
svm_linear,per_class_accuracy,mug,89,0.3258426966292135,0.2247191011235955,0.42696629213483145,,,,,,
svm_linear,per_class_accuracy,bottle,146,0.5616438356164384,0.4794520547945205,0.6371575342465752,,,,,,
svm_linear,per_class_accuracy,bowl,44,0.18181818181818182,0.06818181818181818,0.29545454545454547,,,,,,
svm_rbf,overall_accuracy,all,1109,0.8638412984670875,0.8439810640216412,0.8845807033363391,0.8176791607122242,0.9043483654601888,object_proxy,201.0,0.0405996393146979,0.08666920474796458
svm_rbf,per_class_accuracy,box,475,0.9936842105263158,0.9852631578947368,1.0,,,,,,
svm_rbf,per_class_accuracy,can,355,0.9915492957746479,0.9802816901408451,1.0,,,,,,
svm_rbf,per_class_accuracy,mug,89,0.2808988764044944,0.19073033707865195,0.3707865168539326,,,,,,
svm_rbf,per_class_accuracy,bottle,146,0.6575342465753424,0.5821917808219178,0.7328767123287672,,,,,,
svm_rbf,per_class_accuracy,bowl,44,0.29545454545454547,0.1590909090909091,0.4318181818181818,,,,,,
knn_grouped,overall_accuracy,all,1109,0.8999098286744815,0.8827321911632101,0.9170423805229937,0.863048955173576,0.9306643204727146,object_proxy,201.0,0.03431018935978358,0.06761536529913859
