both_correct,a_correct_b_wrong,a_wrong_b_correct,both_wrong,statistic,p_value,model_a,model_b
915,112,23,59,23.0,3.028830399743235e-15,knn,svm_linear
940,87,18,64,18.0,4.946255984389221e-12,knn,svm_rbf
923,15,35,136,15.0,0.006600447966810918,svm_linear,svm_rbf
1012,15,67,15,15.0,5.2573169769006436e-09,knn,pointnet
944,14,135,16,14.0,5.068356889073817e-26,svm_rbf,pointnet
902,106,32,69,32.0,1.865139043673374e-10,knn_grouped,svm_linear_grouped
924,84,32,69,32.0,1.481143728223155e-06,knn_grouped,svm_rbf_grouped
920,14,36,139,14.0,0.0026021714567221466,svm_linear_grouped,svm_rbf_grouped
956,52,71,30,52.0,0.10420386640532626,knn_grouped,pointnet_grouped
890,66,137,16,66.0,6.98291661356678e-07,svm_rbf_grouped,pointnet_grouped
897,104,37,71,37.0,1.4687075361732718e-08,knn_groupkfold,svm_linear_groupkfold
921,80,28,80,28.0,5.648694223312712e-07,knn_groupkfold,svm_rbf_groupkfold
908,26,41,134,26.0,0.08643723427347082,svm_linear_groupkfold,svm_rbf_groupkfold
950,51,84,24,51.0,0.005682824660016618,knn_groupkfold,pointnet_groupkfold
895,54,139,21,54.0,7.929520771718262e-10,svm_rbf_groupkfold,pointnet_groupkfold
933,23,16,137,16.0,0.3367836351899315,svm_rbf_grouped,svm_rbf_groupkfold
1003,24,31,51,24.0,0.4187541882690154,pointnet_grouped,pointnet_groupkfold
